Respondent_ID,Age_Range,Gender,Disability_Status,Location_Type,Country,African_Region,Value_Chain,Organization_Name,Organization_Type,Complement_Existing_Platforms_Score,Framework_Inclusivity_Score,Governance_Transparency_Score,Membership_Clarity_Score,Stakeholder_Participation_Score,Trust_Building_Score,Finance_Barrier_Score,Land_Access_Barrier_Score,Climate_Risk_Score,Technology_Barrier_Score,Funding_Support_Need,Land_Ownership_Importance,Early_Warning_Importance,Capacity_Building_Need,Technology_Intervention_Need,KPI_Alignment_Score,Impact_Measurement_Score,Gender_Data_Promotion_Score,Continuous_Learning_Score,Reporting_Level,Resource_Mobilization_Score,Funding_Diversification_Score,Partnership_Strategy_Score,Knowledge_Sharing_Score,Government_Partner,Private_Sector_Partner,International_Org_Partner,Academia_Partner,Farmers_Association_Partner,CSO_Partner,Staffing_Readiness_Score,Communication_Readiness_Score,Women_Involvement_Score,Hybrid_Platform_Readiness_Score,Strategic_Alignment_Score,Lessons_Learned_Text,Innovation_Recommendations_Text,Inclusivity_Recommendations_Text,Vulnerability_Index,Governance_Readiness_Score,Sustainability_Score,MELAR_Readiness_Score,Intervention_Priority,Avg_Barrier_Score,Avg_Readiness_Score,Avg_Need_Score,Readiness_Gap,Rural_Female,Young_Respondent,Disability_Flag,Total_Partners,Priority_Ordinal,Gov_High,Sus_High,Exclusion_Risk_Score,Risk_Level,Cluster,WAEI_Participation,WAEI_Governance,WAEI_Resilience,WAEI_Sustainability,WAEI_Inclusion,WAEI_Score,Recommendations,Urgency,Num_Interventions
RESP_00001,18-35,Female,No,Semi-Urban,Nigeria,West Africa,Agri-Finance,Horizon Food Systems,Government Agency,4,5,3,4,4,4,5,3,4,5,4,4,4,3,3,4,3,4,3,Continental,3,5,4,4,1,0,0,0,0,0,3,4,4,3,4,Climate adaptation training should be expanded,Support aggregation and funding of agricultural research,Increase disability-inclusive participation frameworks,4.25,4.0,4.0,3.5,High,4.25,3.6,3.6,0.65,0,1,0,1,2,1,1,2.9,Moderate,0,66.66666666666666,63.63636363636363,21.42857142857143,60.0,100.0,59.19,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Emergency AfriAgri welfare inclusion support,Critical,4
RESP_00002,18-35,Female,No,Semi-Urban,Morocco,Northern Africa,Marketing,Continental Agri Ltd,Community Network,3,5,4,3,4,3,3,3,3,5,4,4,5,5,4,4,3,4,4,Continental,4,4,3,4,0,1,1,1,0,0,3,3,5,5,5,Technology adoption is improving productivity outcomes,Deploy mobile agricultural advisory platforms,Increase disability-inclusive participation frameworks,3.5,4.0,3.75,3.75,Moderate,3.5,4.2,4.4,-0.7,0,1,0,3,1,1,1,2.3,Low,1,100.0,63.63636363636363,42.85714285714286,50.0,100.0,71.98,Digital literacy & agri-tech platform access | Capacity building programme enrolment,High,2
RESP_00003,18-35,Female,Yes,Rural,Cameroon,Central Africa,Services,ProAgri Associates,Government Agency,4,3,3,3,5,5,4,4,5,5,4,5,4,4,4,5,4,5,2,Continental,4,4,4,4,1,0,1,1,0,0,2,4,5,5,4,Need stronger digital extension systems for women farmers,Introduce AI-supported climate monitoring systems,Strengthen gender-responsive technology access,4.5,3.5,4.0,4.0,Critical,4.5,4.0,4.2,0.5,1,1,1,3,3,0,1,3.75,High,0,100.0,45.45454545454545,14.285714285714292,60.0,33.33333333333333,56.55,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Disability-inclusive programme design & access accommodations | Capacity building programme enrolment,Critical,8
RESP_00004,36-45,Female,No,Urban,Ghana,West Africa,Processing,BushVeld Research,Women Cooperative,4,4,3,4,4,4,4,3,4,3,4,3,4,5,4,4,3,4,4,National,3,3,4,5,0,1,0,0,0,0,4,4,4,2,4,Local partnerships improve sustainability and trust,Create women-focused digital financing systems,Strengthen gender-responsive technology access,3.5,3.75,3.75,3.75,Moderate,3.5,3.6,4.0,-0.1,0,0,0,1,1,0,1,2.45,Low,1,66.66666666666666,54.54545454545454,42.85714285714286,50.0,66.66666666666666,56.37,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Capacity building programme enrolment,High,3
RESP_00005,46-60,Male,No,Semi-Urban,Morocco,Northern Africa,Production,Delta Agri Hub,Community Network,3,5,4,4,5,3,3,5,4,4,5,3,4,5,3,4,4,4,3,National,4,3,4,3,1,1,0,0,1,0,5,3,4,4,3,Local partnerships improve sustainability and trust,Create women-focused digital financing systems,Promote women leadership representation,4.0,4.5,3.5,3.75,High,4.0,3.8,4.0,0.2,0,0,0,3,2,1,0,2.7,Moderate,0,66.66666666666666,81.81818181818183,28.57142857142857,40.0,100.0,62.17,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,5
RESP_00006,36-45,Female,No,Rural,Tanzania,East Africa,Services,Continental Agri Ltd,Government Agency,5,3,4,3,4,4,4,5,3,5,5,4,4,5,4,3,5,5,3,Sub-national,4,3,5,5,1,0,0,1,0,0,3,5,5,4,5,Need stronger digital extension systems for women farmers,Introduce AI-supported climate monitoring systems,Expand awareness campaigns in rural communities,4.25,3.5,4.25,4.0,High,4.25,4.4,4.4,-0.15,1,0,0,2,2,0,1,3.0,High,0,100.0,45.45454545454545,21.42857142857143,70.0,33.33333333333333,59.48,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00007,36-45,Female,No,Rural,Cameroon,Central Africa,Agri-Tech,AfroHarvest Initiative,Community Network,4,4,3,4,4,5,4,4,4,4,4,5,4,4,3,4,4,5,4,Continental,4,3,3,4,0,1,1,0,1,1,4,4,3,4,4,Funding access remains difficult for rural women cooperatives,Create women-focused digital financing systems,Increase disability-inclusive participation frameworks,4.0,3.75,3.5,4.25,High,4.0,3.8,4.0,0.2,1,0,0,4,2,0,0,3.0,High,0,33.33333333333333,54.54545454545454,28.57142857142857,40.0,66.66666666666666,42.02,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00008,36-45,Female,No,Semi-Urban,Botswana,Southern Africa,Agri-Tech,Savanna Tech Group,Government Agency,4,5,4,5,3,3,3,3,4,3,5,5,4,5,4,5,5,5,4,Regional,4,3,4,4,0,1,0,0,1,1,4,5,3,4,3,Need stronger digital extension systems for women farmers,Deploy mobile agricultural advisory platforms,Strengthen gender-responsive technology access,3.25,4.25,3.75,4.75,Moderate,3.25,3.8,4.6,-0.55,0,0,0,3,1,1,1,2.25,Low,1,33.33333333333333,72.72727272727273,50.0,50.0,100.0,55.68,Climate-smart agriculture & early warning systems | Capacity building programme enrolment,Routine,2
RESP_00009,61+,Male,Yes,Rural,Botswana,Southern Africa,Services,Baobab Cooperative,Community Network,4,4,4,4,4,3,3,5,5,4,5,5,3,5,4,5,3,4,4,Continental,4,3,4,4,0,0,1,0,1,1,3,5,5,3,5,Funding access remains difficult for rural women cooperatives,Support aggregation and funding of agricultural research,Expand awareness campaigns in rural communities,4.25,4.0,3.75,4.0,High,4.25,4.2,4.4,0.05,0,0,1,3,2,1,1,3.25,High,0,100.0,63.63636363636363,21.42857142857143,50.0,66.66666666666666,64.36,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Disability-inclusive programme design & access accommodations | Capacity building programme enrolment,Critical,6
RESP_00010,36-45,Female,No,Urban,Zimbabwe,Southern Africa,Production,Delta Agri Hub,Farmers Association,4,4,5,4,3,4,5,4,2,2,2,3,4,4,5,3,4,4,5,Regional,3,4,4,3,0,1,0,0,0,0,4,4,4,4,4,Need stronger digital extension systems for women farmers,Deploy mobile agricultural advisory platforms,Expand awareness campaigns in rural communities,3.25,4.0,3.5,4.0,Moderate,3.25,4.0,3.6,-0.75,0,0,0,1,1,1,0,2.2,Low,1,66.66666666666666,63.63636363636363,50.0,40.0,66.66666666666666,58.58,Agricultural credit & microfinance access | Land rights advocacy & documentation support | Capacity building programme enrolment,High,3
